espn_athlete_id,player_name,star_rating,composite_score,position_247,committed_school_slug,hs_grad_year
hs2028_nash_avery,Nash Avery,4,0.9872,PF,,2028
hs2028_boss_mhoon,Boss Mhoon,4,0.9872,SF,,2028
hs2028_rowan_phillips,Rowan Phillips,4,0.987,SG,,2028
hs2028_anthony_spratt_jr,Anthony Spratt Jr.,4,0.9868,SF,,2028
hs2028_devaughn_dorrough,Devaughn Dorrough,4,0.9863,SF,,2028
hs2028_peter_julius,Peter Julius,4,0.9858,C,,2028
hs2028_cole_kelly,Cole Kelly,4,0.9854,SF,,2028
hs2028_will_nelson,Will Nelson,4,0.9853,SF,,2028
hs2028_emmanuel_nwabuoku,Emmanuel Nwabuoku,4,0.9852,C,,2028
hs2028_landon_lampley,Landon Lampley,4,0.985,SF,,2028
hs2028_trey_edwards,Trey Edwards,4,0.9847,SG,,2028
hs2028_kelvin_anderson,Kelvin Anderson,4,0.9847,SG,,2028
hs2028_kmajay_jenkins,Kmajay Jenkins,4,0.9843,SF,,2028
hs2028_isaac_smith,Isaac Smith,4,0.9828,SF,,2028
hs2028_brielen_craft,Brielen Craft,4,0.9827,PG,,2028
hs2028_darren_ford,Darren Ford,4,0.9823,SG,,2028
hs2028_tyler_sutton,Tyler Sutton,4,0.9818,SG,,2028
hs2028_noah_washington,Noah Washington,4,0.9813,SG,,2028
hs2028_kaharri_coleman,Kaharri Coleman,4,0.981,PG,,2028
hs2028_benjamin_berrouet,Benjamin Berrouet,4,0.9807,PF,,2028
hs2028_jordan_mize,Jordan Mize,4,0.9807,SG,,2028
hs2028_rezon_harris_jr,Rezon Harris Jr.,4,0.9803,SF,,2028
hs2028_mateen_cleaves_jr,Mateen Cleaves Jr.,4,0.9799,SG,,2028
hs2028_stra_zelic,Stra Zelic,4,0.9793,C,,2028
hs2028_chase_smith,Chase Smith,4,0.9791,PF,,2028
hs2028_nijaun_harris,Nijaun Harris,4,0.9775,SG,,2028
hs2028_joshua_huggins,Joshua Huggins,4,0.9771,SF,,2028
hs2028_kareem_smith_bey,Kareem Smith-Bey,4,0.9771,SG,,2028
hs2028_keaton_murry,Keaton Murry,4,0.9763,SG,,2028
hs2028_billy_stanfield_iii,Billy Stanfield III,4,0.9755,SF,,2028
hs2028_derek_swartz,Derek Swartz,4,0.9751,SG,,2028
hs2028_keonte_smith,Keonte Smith,4,0.9744,SF,,2028
hs2028_jaden_mccullough,Jaden McCullough,4,0.9731,PG,,2028
hs2028_carter_smith,Carter Smith,4,0.9727,SG,,2028
hs2028_aidan_carter,Aidan Carter,4,0.9723,PG,,2028
hs2028_trey_mckinney,Trey McKinney,4,0.9443,SF,,2028
hs2028_xavier_hall,Xavier Hall,4,0.9403,C,,2028
hs2028_ian_archbold,Ian Archbold,4,0.9375,PG,,2028
hs2028_toussaint_malukila,Toussaint Malukila,4,0.9358,C,,2028
hs2028_devin_mitchell,Devin Mitchell,4,0.9338,SG,,2028
hs2028_baer_bailey,Baer Bailey,4,0.9335,PF,,2028
hs2028_terrell_jackson,Terrell Jackson,4,0.9303,C,,2028
hs2028_mekhi_allen,Mekhi Allen,4,0.9295,SG,,2028
hs2028_dylan_zeigler,Dylan Zeigler,4,0.89,PG,,2028
hs2028_kaleb_allen,Kaleb Allen,4,0.89,SF,,2028
hs2028_amarion_smith_holley,Amarion Smith-Holley,4,0.89,PG,,2028
