espn_athlete_id,player_name,star_rating,composite_score,position_247,committed_school_slug,hs_grad_year
hs2028_aj_williams,AJ Williams,5,0.9999,SF,,2028
hs2028_bamba_touray,Bamba Touray,5,0.9994,C,,2028
hs2028_colton_hiller,Colton Hiller,5,0.9992,SF,,2028
hs2028_isaiah_hamilton,Isaiah Hamilton,5,0.9986,SF,,2028
hs2028_erick_dampier_jr,Erick Dampier Jr.,5,0.9986,C,,2028
hs2028_bentley_lusakueno,Bentley Lusakueno,5,0.9982,C,,2028
hs2028_adan_diggs,Adan Diggs,5,0.9979,SG,,2028
hs2028_shalen_sheppard,Shalen Sheppard,5,0.9973,PF,,2028
hs2028_mason_collins,Mason Collins,5,0.9973,SF,,2028
hs2028_dylan_betts,Dylan Betts,5,0.9964,C,,2028
hs2028_kameron_mercer,Kameron Mercer,5,0.9961,SG,,2028
hs2028_dj_okoth,DJ Okoth,5,0.9959,SF,,2028
hs2028_josh_lowery,Josh Lowery,5,0.9957,SG,,2028
hs2028_myles_hayes,Myles Hayes,5,0.9944,SG,,2028
hs2028_brady_pettigrew,Brady Pettigrew,5,0.994,SG,,2028
hs2028_logan_chwastyk,Logan Chwastyk,5,0.9935,C,,2028
hs2028_michai_white,Michai White,5,0.993,PG,,2028
hs2028_xavier_young,Xavier Young,5,0.9926,C,,2028
hs2028_jakyi_miles,Jakyi Miles,5,0.9924,SG,,2028
hs2028_joshua_lindsay,Joshua Lindsay,5,0.9923,SG,,2028
hs2028_quinton_wilson,Quinton Wilson,5,0.992,SG,,2028
hs2028_antoine_caughman_jr,Antoine Caughman Jr.,5,0.9917,SF,,2028
hs2028_malik_moore,Malik Moore,5,0.9916,PG,,2028
hs2028_blaze_johnson,Blaze Johnson,5,0.9916,PG,,2028
hs2028_kevin_wheatley_jr,Kevin Wheatley Jr.,5,0.9915,SG,,2028
hs2028_isaiah_carter,Isaiah Carter,5,0.9912,SF,,2028
hs2028_tai_bell,Tai Bell,5,0.991,PG,,2028
hs2028_xavier_skipworth,Xavier Skipworth,5,0.9906,SF,,2028
hs2028_evan_willis,Evan Willis,4,0.9896,SF,,2028
hs2028_liam_mitakaro,Liam Mitakaro,4,0.9888,SG,,2028
hs2028_josiah_rose,Josiah Rose,4,0.988,SG,,2028
hs2028_will_brunson,Will Brunson,4,0.9879,SF,,2028
hs2028_braxton_bogard,Braxton Bogard,4,0.9877,PF,,2028
hs2028_boogie_cook,Boogie Cook,4,0.9875,SF,,2028
hs2028_cj_moore,CJ Moore,4,0.9873,SF,,2028
