espn_athlete_id,player_name,star_rating,composite_score,position_247
5041935,Cameron Boozer,5,1.0000,PF
5144124,Nikolas Khamenia,5,0.9800,SF
5041937,Cayden Boozer,5,0.9600,PG
5144150,Sebastian Wilkins,4,0.9400,PF
5287474,Dame Sarr,5,0.9800,SG
