ea_name,ea_team,ea_position,ea_ovr,ea_school_year,matched_player_name,matched_player_id,match_confidence,cfo_position,cfo_valuation,depth_chart_rank,production_score
Gideon Davidson,Clemson,HB,83,Freshman,Gideon Davidson,34db6357-997c-4ad1-84ce-d58c5dc9f834,1.0,RB,331309,1,54.0
Ricardo Jones,Clemson,FS,83,Sophomore,Ricardo Jones,6ff15e83-bad3-430c-8b6a-75b9633718c3,1.0,S,,,72.1
Damieon George Jr.,Florida,RG,83,Senior,Damieon George Jr.,b68dba34-d6ff-4217-b0dd-7a1e5c6ced70,1.0,OL,,,0.0
DJ Lagway,Florida,QB,83,Sophomore,DJ Lagway,dfb13418-3d3d-4559-971a-93db433a2977,1.0,QB,,,73.8
George Gumbs Jr.,Florida,REDG,83,Senior,George Gumbs Jr.,5195fa24-f62c-457c-a330-da8c14ffc675,1.0,EDGE,,,77.4
Knijeah Harris,Florida,LG,83,Junior,Knijeah Harris,951f08b6-2e4e-456f-85fd-3ce704183c2d,1.0,OL,537933,1,0.0
Chris Cole,Georgia,WILL,83,Sophomore,Chris Cole,7c78ca23-82f6-4383-9a96-b79cbbc670bc,1.0,LB,476326,1,93.3
Gabe Harris Jr.,Georgia,LEDG,83,Junior,Gabe Harris Jr.,988e8790-1037-4a0a-9d04-d8a59a68765f,1.0,LB,365420,1,73.7
Jordan Hall,Georgia,DT,83,Junior,Jordan Hall,3881c7a9-de8e-4baa-959e-b3b6d73b3083,1.0,DL,432069,1,53.9
Noah Thomas,Georgia,WR,83,Senior,Noah Thomas,564a1756-c2bc-488b-bf4c-44d6553c9c75,1.0,WR,,,72.1
Zion Branch,Georgia,SS,83,Junior,Zion Branch,ed71f4a4-6478-4168-bc00-e46cb48c89cf,1.0,S,531235,2,66.5
DJ Pickett,LSU,CB,83,Freshman,DJ Pickett,8a0a166f-eb5c-402d-b9aa-540363754001,1.0,CB,561871,1,89.2
Jacobian Guillory II,LSU,DT,83,Senior,Jacobian Guillory II,e23e3c9b-767f-4db2-af20-1f1fd45afe77,1.0,DT,,,72.9
Bryce Fitzgerald,Miami,SS,83,Freshman,Bryce Fitzgerald,cd132846-240c-43a7-b00e-a343a6514ff5,1.0,DB,365121,1,77.9
Damon Payne Jr.,Michigan,DT,83,Senior,Damon Payne,98c76601-b55d-4e2b-b14a-a879a9a890ce,0.88,DL,,,63.3
Dominic Zvada,Michigan,K,83,Senior,Dominic Zvada,5c7ba5e9-5eed-4e5b-9ca3-828540af5dfc,1.0,PK,,,0.0
Donaven McCulley,Michigan,WR,83,Senior,Donaven McCulley,80678b39-748f-4d3a-9548-04ff0206d343,1.0,WR,,,84.1
Jimmy Rolder,Michigan,MIKE,83,Senior,Jimmy Rolder,47426136-3e0a-48ad-84ae-e8c9a999c6b2,1.0,LB,,,92.4
TJ Metcalf,Michigan,SS,83,Junior,TJ Metcalf,be4b0fbd-eefa-40c1-87f2-4f56e6a9f71c,1.0,DB,,,77.1
