Player,Position,CFO Valuation,On3 Valuation,Override Value
Henry Fenuku,OL,,,
Max Reese,TE,,,
Johnny Williams IV,OL,,,
Jordan Church,OL,,,
Brendon Haygood,RB,,,
Corey Platt Jr.,LB,,,
Brandon Davis-Swain,DE,,,
Zechariah Sample,WR,,,
Zakye Barker,LB,,,
Zach Johnson,LB,,,
Tayven Jackson,QB,,,
Garret Rangel,QB,,,
Steven Curtis,DL,,,
Brandon Jones,CB,,,
Jason Cross Jr.,S,,,
Travis Shaw,DL,,,
Cole Hutson,OL,,,
Caden Jenkins,CB,,,
Tyree Adams,OL,,,
Wilkin Formby,OL,,,
William Boone,OL,,,
Joe Tatum,QB,,,
Chantz Johnson,LB,,,
TJ Chukwurah,WR,,,
David Onuoha,EDGE,,,
Grayson O'Bara,WR,,,
Udoka Ezeani,LB,,,
John Smith,S,,,
Phillip Bradford,DL,,,
Michael Patterson,CB,,,
Peyton Taylor,CB,,,
Dylan Cunanan,K,,,
Javante Mackey,EDGE,,,
Tae Woody,DL,,,
Jordan Sample,LB,,,
Jamond Mathis,EDGE,,,
Dexter Ricks,CB,,,
Corri Milliner,WR,,,
Nick Osho,RB,,,
Chaston Ditta,QB,,,
Justin Benton,DL,,,
Christian Lorenzo,DL,,,
Kirk Francis,QB,,,
Davion Rhodes,EDGE,,,
Cedric Roberts,LB,,,
TJ Smith,LB,,,
Jett Carpenter,TE,,,
Jacob Hand,K,,,
Wesley Hudson,DL,,,
Brec Long,TE,,,
Aaron Alexander,LB,,,
James Tyre,WR,,,
Mouhamed Diawara,EDGE,,,
Dominic De Freitas,K,,,
Josiah Martin,WR,,,
Ian Ratliff,P,,,
Ja'Bree Bickham,CB,,,
CJ Baxter (NOT IN DB),RB,,"$275,000 ",
Jaime Ffrench (NOT IN DB),WR,,"$214,000 ",
Aaron Butler (NOT IN DB),WR,,"$180,000 ",
Jerrick Gibson (NOT IN DB),RB,,"$172,000 ",
Kobe Black (NOT IN DB),CB,,"$170,000 ",
Trey Owens (NOT IN DB),QB,,"$167,000 ",
Parker Livingstone (NOT IN DB),WR,,"$161,000 ",
Jordan Washington (NOT IN DB),TE,,"$159,000 ",
Christian Clark (NOT IN DB),RB,,"$158,000 ",
Daniel Cruz (NOT IN DB),IOL,,"$150,000 ",
DeAndre Moore Jr. (NOT IN DB),WR,,"$110,000 ",
,,,,
,,"$39,894,746 ","$23,936,000 ",
