espn_athlete_id,player_name,star_rating,composite_score,position_247
5196916,Braylon Mullins,5,0.9800,SG
5152763,Eric Reibe,4,0.9500,PF
5248294,Jacob Furphy,4,0.9000,SF
5142624,Jacob Ross,3,0.8800,SF
