espn_athlete_id,player_name,star_rating,composite_score,position_247
5142718,AJ Dybantsa,5,0.9998,SF
5262996,Dominique Diomande,4,0.9412,PF
5262601,Khadim Mboup,4,0.9187,C
5311908,Aleksej Kostic,3,0.8654,SG
5329424,KJ Perry,3,0.8312,PG
5183975,Abdullah Ahmed,3,0.8201,C
5143304,Xavion Staton,3,0.8156,C
